,id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,BlackLatinoMale,African-American,Hispanic,Caucasian,Native American,Asian,Other,y
1235,1886,0,60,1,0,0,3,0,0,12,3,-1,1,-1,12,1,1,0,0,0,0,0,0
6823,10404,0,30,0,1,0,3,0,0,0,3,-1,2,-1,0,1,0,1,0,0,0,0,0
1438,2205,1,23,-1,0,0,6,0,0,0,6,0,6,0,0,0,1,0,0,0,0,0,0
4601,7034,0,28,0,2,0,3,0,0,2,3,-1,3,-1,2,0,0,0,1,0,0,0,1
253,374,0,36,0,2,0,7,0,0,8,7,0,9,1,8,0,0,0,1,0,0,0,1
3389,5182,0,52,1,2,0,1,0,0,1,1,-1,1,-1,1,0,0,0,1,0,0,0,0
6330,9658,0,27,0,0,1,10,2,1,6,10,1,10,1,6,1,1,0,0,0,0,0,0
1283,1961,0,26,0,2,0,8,0,0,2,8,1,4,-1,2,0,0,0,1,0,0,0,1
2329,3546,0,23,-1,1,0,2,0,0,0,2,-1,3,-1,0,1,0,1,0,0,0,0,0
5612,8554,0,30,0,0,0,4,0,0,0,4,-1,2,-1,0,1,1,0,0,0,0,0,1
5657,8625,0,23,-1,0,0,2,0,0,0,2,-1,3,-1,0,1,1,0,0,0,0,0,0
745,1132,1,53,1,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,0
2836,4335,0,37,0,0,0,9,0,0,0,9,1,3,-1,0,1,1,0,0,0,0,0,0
1092,1673,0,29,0,2,0,7,0,0,7,7,0,6,0,7,0,0,0,1,0,0,0,1
6905,10520,1,24,-1,0,0,4,0,0,0,4,-1,3,-1,0,0,1,0,0,0,0,0,1
5062,7704,0,29,0,0,0,7,0,0,0,7,0,7,0,0,1,1,0,0,0,0,0,0
4064,6195,1,24,-1,2,0,5,1,0,3,5,0,5,0,3,0,0,0,1,0,0,0,1
2919,4457,0,30,0,0,0,4,0,0,5,4,-1,6,0,5,1,1,0,0,0,0,0,1
952,1461,0,23,-1,0,0,6,0,0,2,6,0,5,0,2,1,1,0,0,0,0,0,1
3154,4821,0,22,-1,0,0,10,0,0,5,10,1,6,0,5,1,1,0,0,0,0,0,1
1626,2487,0,32,0,0,0,5,0,0,1,5,0,5,0,1,1,1,0,0,0,0,0,1
6696,10216,1,26,0,0,0,8,0,0,0,8,1,4,-1,0,0,1,0,0,0,0,0,0
6845,10431,0,41,0,2,0,1,0,0,3,1,-1,1,-1,3,0,0,0,1,0,0,0,0
4446,6784,0,41,0,5,0,1,0,0,0,1,-1,1,-1,0,0,0,0,0,0,0,1,0
5421,8260,0,37,0,1,0,5,0,0,6,5,0,3,-1,6,1,0,1,0,0,0,0,1
2683,4088,0,35,0,0,0,3,0,0,0,3,-1,1,-1,0,1,1,0,0,0,0,0,0
1530,2344,1,24,-1,0,0,7,0,0,2,7,0,8,1,2,0,1,0,0,0,0,0,1
5808,8849,0,23,-1,0,0,5,0,0,1,5,0,5,0,1,1,1,0,0,0,0,0,0
1407,2155,0,57,1,2,0,7,0,0,15,7,0,3,-1,15,0,0,0,1,0,0,0,0
6465,9857,0,23,-1,0,0,9,1,1,8,9,1,6,0,8,1,1,0,0,0,0,0,1
4208,6425,1,30,0,0,0,2,0,0,2,2,-1,2,-1,2,0,1,0,0,0,0,0,0
4924,7497,0,20,-1,0,0,8,0,0,0,8,1,7,0,0,1,1,0,0,0,0,0,1
489,740,0,50,1,4,0,7,0,0,5,7,0,5,0,5,0,0,0,0,0,1,0,1
850,1283,0,21,-1,0,0,9,1,1,1,9,1,6,0,1,1,1,0,0,0,0,0,1
1291,1975,0,38,0,4,0,1,0,0,2,1,-1,1,-1,2,0,0,0,0,0,1,0,0
2227,3397,0,62,1,0,0,7,0,0,1,7,0,6,0,1,1,1,0,0,0,0,0,0
2459,3744,0,56,1,0,0,1,0,0,1,1,-1,2,-1,1,1,1,0,0,0,0,0,0
830,1253,0,21,-1,5,0,3,0,0,0,3,-1,7,0,0,0,0,0,0,0,0,1,1
6533,9960,1,25,0,0,0,2,0,0,0,2,-1,3,-1,0,0,1,0,0,0,0,0,0
5268,8036,0,42,0,1,0,1,0,0,1,1,-1,1,-1,1,1,0,1,0,0,0,0,0
351,523,0,19,-1,0,0,10,2,0,2,10,1,9,1,2,1,1,0,0,0,0,0,1
2464,3754,0,22,-1,0,0,6,0,0,1,6,0,4,-1,1,1,1,0,0,0,0,0,1
4841,7381,1,43,0,0,0,6,0,0,0,6,0,1,-1,0,0,1,0,0,0,0,0,0
2572,3930,0,45,1,2,0,2,0,0,2,2,-1,1,-1,2,0,0,0,1,0,0,0,0
308,452,0,62,1,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,0
6086,9276,0,56,1,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,0
1212,1860,0,21,-1,2,0,6,0,0,1,6,0,6,0,1,0,0,0,1,0,0,0,1
3806,5812,0,49,1,0,0,4,0,0,4,4,-1,1,-1,4,1,1,0,0,0,0,0,0
1531,2349,0,45,1,0,0,9,0,0,3,9,1,1,-1,3,1,1,0,0,0,0,0,0
5125,7804,0,33,0,0,0,6,0,0,3,6,0,4,-1,3,1,1,0,0,0,0,0,1
5802,8842,0,46,1,2,0,3,0,0,1,3,-1,3,-1,1,0,0,0,1,0,0,0,0
6179,9419,0,45,1,0,0,3,0,0,0,3,-1,1,-1,0,1,1,0,0,0,0,0,1
3584,5475,0,26,0,0,0,2,0,0,0,2,-1,3,-1,0,1,1,0,0,0,0,0,0
3130,4780,0,23,-1,2,0,6,0,0,2,6,0,7,0,2,0,0,0,1,0,0,0,0
5633,8593,0,34,0,5,0,2,0,0,0,2,-1,1,-1,0,0,0,0,0,0,0,1,1
6586,10045,0,21,-1,0,0,6,0,0,0,6,0,9,1,0,1,1,0,0,0,0,0,1
5698,8684,0,30,0,0,0,4,0,0,0,4,-1,3,-1,0,1,1,0,0,0,0,0,0
5220,7963,0,33,0,1,0,1,0,0,0,1,-1,1,-1,0,1,0,1,0,0,0,0,0
3149,4812,1,22,-1,2,0,9,0,0,0,9,1,7,0,0,0,0,0,1,0,0,0,0
3975,6066,0,57,1,2,0,5,0,0,12,5,0,1,-1,12,0,0,0,1,0,0,0,0
2400,3660,0,46,1,5,0,3,0,0,2,3,-1,4,-1,2,0,0,0,0,0,0,1,0
5789,8820,0,24,-1,0,0,9,0,2,2,9,1,7,0,2,1,1,0,0,0,0,0,1
4596,7028,0,36,0,2,0,3,0,0,5,3,-1,2,-1,5,0,0,0,1,0,0,0,1
4360,6652,0,25,0,0,0,8,0,0,4,8,1,5,0,4,1,1,0,0,0,0,0,1
5996,9158,1,27,0,5,0,3,0,0,0,3,-1,3,-1,0,0,0,0,0,0,0,1,1
3379,5171,0,33,0,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,0
2700,4121,0,31,0,1,0,2,0,0,0,2,-1,2,-1,0,1,0,1,0,0,0,0,0
983,1512,0,54,1,0,0,2,0,0,2,2,-1,3,-1,2,1,1,0,0,0,0,0,0
3928,5989,1,44,0,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,0
6819,10400,0,23,-1,2,0,7,0,7,3,7,0,9,1,3,0,0,0,1,0,0,0,0
7127,10880,1,36,0,5,0,1,0,0,1,1,-1,1,-1,1,0,0,0,0,0,0,1,0
2837,4336,0,23,-1,0,0,4,0,0,1,4,-1,5,0,1,1,1,0,0,0,0,0,0
6523,9944,0,43,0,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,1
2144,3285,0,46,1,0,0,5,0,0,5,5,0,7,0,5,1,1,0,0,0,0,0,1
7138,10895,1,31,0,0,0,8,0,0,9,8,1,2,-1,9,0,1,0,0,0,0,0,1
2453,3738,0,28,0,2,0,9,0,0,14,9,1,3,-1,14,0,0,0,1,0,0,0,0
2184,3338,0,22,-1,0,0,6,0,0,0,6,0,5,0,0,1,1,0,0,0,0,0,0
6675,10183,0,36,0,0,0,9,0,0,1,9,1,3,-1,1,1,1,0,0,0,0,0,0
4098,6242,1,54,1,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,0
3710,5668,0,40,0,0,0,7,0,0,3,7,0,8,1,3,1,1,0,0,0,0,0,0
4499,6872,0,57,1,0,0,2,0,0,2,2,-1,1,-1,2,1,1,0,0,0,0,0,0
486,737,1,24,-1,2,0,9,0,1,6,9,1,4,-1,6,0,0,0,1,0,0,0,1
1257,1919,1,32,0,2,0,1,0,0,0,1,-1,2,-1,0,0,0,0,1,0,0,0,1
5564,8475,1,32,0,2,0,2,0,0,5,2,-1,2,-1,5,0,0,0,1,0,0,0,0
9,13,0,21,-1,2,0,3,0,0,1,3,-1,5,0,1,0,0,0,1,0,0,0,1
7107,10848,0,31,0,0,0,6,0,0,1,6,0,6,0,1,1,1,0,0,0,0,0,0
6008,9173,0,21,-1,2,0,8,0,0,1,8,1,6,0,1,0,0,0,1,0,0,0,0
4511,6892,0,20,-1,0,0,4,0,1,1,4,-1,7,0,1,1,1,0,0,0,0,0,1
5835,8890,0,30,0,0,0,1,0,0,0,1,-1,2,-1,0,1,1,0,0,0,0,0,0
4017,6125,0,32,0,0,0,1,0,0,7,1,-1,1,-1,7,1,1,0,0,0,0,0,0
1692,2575,1,34,0,2,0,6,0,0,1,6,0,2,-1,1,0,0,0,1,0,0,0,1
1972,2993,0,20,-1,1,2,8,0,0,2,8,1,9,1,2,1,0,1,0,0,0,0,1
7050,10750,1,52,1,2,0,3,0,0,0,3,-1,1,-1,0,0,0,0,1,0,0,0,0
7091,10819,0,20,-1,4,0,10,1,0,2,10,1,8,1,2,0,0,0,0,0,1,0,1
6958,10589,0,21,-1,0,0,5,0,0,5,5,0,6,0,5,1,1,0,0,0,0,0,1
3591,5485,0,22,-1,0,0,8,0,1,0,8,1,9,1,0,1,1,0,0,0,0,0,1
3773,5759,0,29,0,0,0,8,0,0,1,8,1,8,1,1,1,1,0,0,0,0,0,0
3182,4870,0,24,-1,2,0,2,0,0,1,2,-1,3,-1,1,0,0,0,1,0,0,0,0
2559,3906,0,29,0,0,0,8,0,0,13,8,1,3,-1,13,1,1,0,0,0,0,0,1
1227,1876,1,45,1,2,0,3,0,0,3,3,-1,2,-1,3,0,0,0,1,0,0,0,0
2316,3529,0,31,0,1,0,1,0,0,0,1,-1,1,-1,0,1,0,1,0,0,0,0,0
2563,3911,0,45,1,1,0,6,0,0,8,6,0,3,-1,8,1,0,1,0,0,0,0,0
1979,3005,0,21,-1,0,0,6,0,0,1,6,0,6,0,1,1,1,0,0,0,0,0,0
5727,8731,0,39,0,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,1
4363,6655,1,42,0,0,0,1,0,0,1,1,-1,1,-1,1,0,1,0,0,0,0,0,0
3576,5459,0,48,1,0,0,1,0,0,0,1,-1,1,-1,0,1,1,0,0,0,0,0,0
648,991,0,23,-1,0,0,7,0,0,4,7,0,9,1,4,1,1,0,0,0,0,0,0
2629,4011,0,27,0,2,0,6,0,0,0,6,0,5,0,0,0,0,0,1,0,0,0,0
2479,3776,1,42,0,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,0
3862,5895,0,24,-1,2,0,4,0,0,1,4,-1,3,-1,1,0,0,0,1,0,0,0,0
6680,10193,0,21,-1,0,0,5,0,0,1,5,0,6,0,1,1,1,0,0,0,0,0,0
4074,6207,0,38,0,0,0,8,0,0,0,8,1,8,1,0,1,1,0,0,0,0,0,1
4181,6383,0,55,1,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,1
3895,5942,0,26,0,2,0,7,0,0,1,7,0,6,0,1,0,0,0,1,0,0,0,1
1631,2494,1,23,-1,0,0,7,0,0,2,7,0,5,0,2,0,1,0,0,0,0,0,1
3391,5184,0,38,0,0,0,4,0,0,0,4,-1,3,-1,0,1,1,0,0,0,0,0,0
6744,10289,0,36,0,2,0,8,0,0,0,8,1,3,-1,0,0,0,0,1,0,0,0,1
7168,10941,0,28,0,2,0,4,0,0,0,4,-1,3,-1,0,0,0,0,1,0,0,0,1
585,891,0,24,-1,0,1,10,0,0,10,10,1,5,0,10,1,1,0,0,0,0,0,1
3435,5253,0,33,0,2,0,7,0,0,3,7,0,4,-1,3,0,0,0,1,0,0,0,1
3904,5955,0,36,0,2,0,6,0,0,4,6,0,4,-1,4,0,0,0,1,0,0,0,0
1980,3008,0,31,0,2,0,2,0,0,1,2,-1,2,-1,1,0,0,0,1,0,0,0,1
1925,2923,0,36,0,5,0,1,0,0,0,1,-1,1,-1,0,0,0,0,0,0,0,1,0
1699,2583,1,35,0,2,0,3,0,0,4,3,-1,4,-1,4,0,0,0,1,0,0,0,0
423,640,0,20,-1,0,0,7,0,0,0,7,0,8,1,0,1,1,0,0,0,0,0,1
2180,3332,0,51,1,0,0,1,0,0,1,1,-1,1,-1,1,1,1,0,0,0,0,0,0
6171,9407,0,40,0,0,0,7,0,0,20,7,0,4,-1,20,1,1,0,0,0,0,0,0
6842,10428,0,53,1,2,0,4,0,0,8,4,-1,3,-1,8,0,0,0,1,0,0,0,0
2176,3326,0,33,0,0,0,10,0,0,4,10,1,9,1,4,1,1,0,0,0,0,0,0
912,1382,0,25,0,0,0,2,0,0,0,2,-1,4,-1,0,1,1,0,0,0,0,0,0
6579,10036,0,26,0,0,0,4,0,0,9,4,-1,4,-1,9,1,1,0,0,0,0,0,1
1464,2243,0,57,1,2,0,2,0,0,0,2,-1,1,-1,0,0,0,0,1,0,0,0,1
3089,4710,1,30,0,2,0,4,0,0,9,4,-1,2,-1,9,0,0,0,1,0,0,0,1
3080,4698,0,54,1,0,0,6,0,0,10,6,0,1,-1,10,1,1,0,0,0,0,0,0
5436,8282,0,21,-1,1,1,8,0,0,1,8,1,6,0,1,1,0,1,0,0,0,0,1
6034,9209,0,25,0,0,0,4,0,0,2,4,-1,3,-1,2,1,1,0,0,0,0,0,1
189,282,0,45,1,2,0,4,0,0,8,4,-1,3,-1,8,0,0,0,1,0,0,0,1
1929,2928,0,35,0,0,0,2,0,0,1,2,-1,1,-1,1,1,1,0,0,0,0,0,0
5433,8279,0,33,0,5,0,3,0,0,5,3,-1,2,-1,5,0,0,0,0,0,0,1,0
67,98,0,27,0,0,0,6,1,0,6,6,0,3,-1,6,1,1,0,0,0,0,0,1
2103,3212,0,25,0,0,0,7,0,0,0,7,0,3,-1,0,1,1,0,0,0,0,0,1
444,674,0,24,-1,0,0,2,0,0,1,2,-1,4,-1,1,1,1,0,0,0,0,0,1
6136,9353,0,31,0,2,0,3,0,0,1,3,-1,3,-1,1,0,0,0,1,0,0,0,1
168,254,0,25,0,0,0,2,0,0,1,2,-1,3,-1,1,1,1,0,0,0,0,0,1
232,344,0,41,0,0,0,1,0,0,0,1,-1,1,-1,0,1,1,0,0,0,0,0,0
1804,2736,0,36,0,2,0,4,0,0,14,4,-1,1,-1,14,0,0,0,1,0,0,0,1
2380,3631,1,36,0,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,0
6142,9364,0,50,1,0,0,8,0,0,15,8,1,4,-1,15,1,1,0,0,0,0,0,0
3879,5918,0,38,0,0,0,7,0,0,2,7,0,4,-1,2,1,1,0,0,0,0,0,1
2726,4161,0,54,1,0,0,1,0,0,0,1,-1,1,-1,0,1,1,0,0,0,0,0,1
5919,9032,0,41,0,0,0,6,0,0,0,6,0,2,-1,0,1,1,0,0,0,0,0,0
325,481,0,53,1,2,0,1,0,0,6,1,-1,1,-1,6,0,0,0,1,0,0,0,0
5457,8311,1,24,-1,2,0,6,0,0,1,6,0,6,0,1,0,0,0,1,0,0,0,0
5838,8894,0,38,0,0,0,7,0,0,5,7,0,7,0,5,1,1,0,0,0,0,0,0
6981,10628,0,30,0,5,0,2,0,0,1,2,-1,2,-1,1,0,0,0,0,0,0,1,1
6056,9240,0,27,0,0,1,5,0,0,1,5,0,4,-1,1,1,1,0,0,0,0,0,1
2983,4557,0,33,0,2,0,5,0,0,3,5,0,3,-1,3,0,0,0,1,0,0,0,0
5721,8723,0,37,0,1,0,5,0,0,9,5,0,3,-1,9,1,0,1,0,0,0,0,0
3593,5489,0,24,-1,0,0,8,0,0,7,8,1,7,0,7,1,1,0,0,0,0,0,1
5172,7889,0,36,0,2,0,3,0,0,0,3,-1,5,0,0,0,0,0,1,0,0,0,1
3411,5211,0,29,0,1,0,3,0,0,0,3,-1,2,-1,0,1,0,1,0,0,0,0,0
7199,10982,0,23,-1,2,0,8,0,0,0,8,1,6,0,0,0,0,0,1,0,0,0,0
1201,1845,1,33,0,0,0,2,0,0,1,2,-1,2,-1,1,0,1,0,0,0,0,0,0
2730,4165,0,22,-1,0,0,7,0,0,0,7,0,6,0,0,1,1,0,0,0,0,0,0
3292,5046,1,23,-1,0,0,7,0,0,0,7,0,6,0,0,0,1,0,0,0,0,0,0
2141,3281,0,30,0,2,0,4,0,0,3,4,-1,4,-1,3,0,0,0,1,0,0,0,1
6481,9883,0,29,0,0,0,4,0,0,7,4,-1,5,0,7,1,1,0,0,0,0,0,1
237,350,0,30,0,0,0,9,0,2,11,9,1,4,-1,11,1,1,0,0,0,0,0,1
2785,4252,0,47,1,2,0,1,0,0,2,1,-1,1,-1,2,0,0,0,1,0,0,0,0
2036,3110,0,21,-1,2,0,4,0,1,0,4,-1,5,0,0,0,0,0,1,0,0,0,1
6409,9783,0,23,-1,0,0,4,0,0,6,4,-1,5,0,6,1,1,0,0,0,0,0,1
1757,2668,1,35,0,2,0,4,1,0,3,4,-1,2,-1,3,0,0,0,1,0,0,0,0
4781,7292,1,35,0,0,0,8,0,0,13,8,1,5,0,13,0,1,0,0,0,0,0,0
973,1496,0,23,-1,0,0,7,0,0,2,7,0,6,0,2,1,1,0,0,0,0,0,1
1777,2692,0,37,0,1,0,1,0,0,3,1,-1,2,-1,3,1,0,1,0,0,0,0,1
5557,8465,0,21,-1,0,0,4,0,0,0,4,-1,8,1,0,1,1,0,0,0,0,0,0
774,1172,0,31,0,0,0,2,0,0,0,2,-1,1,-1,0,1,1,0,0,0,0,0,0
6779,10337,0,32,0,1,0,2,0,0,0,2,-1,3,-1,0,1,0,1,0,0,0,0,0
2233,3405,1,39,0,0,0,2,1,0,7,2,-1,1,-1,7,0,1,0,0,0,0,0,0
289,425,0,70,1,2,0,1,0,0,1,1,-1,1,-1,1,0,0,0,1,0,0,0,0
1043,1602,0,32,0,0,0,2,0,0,2,2,-1,2,-1,2,1,1,0,0,0,0,0,0
3493,5346,0,34,0,0,0,7,1,0,27,7,0,3,-1,27,1,1,0,0,0,0,0,0
4576,6998,0,26,0,1,1,5,0,0,1,5,0,4,-1,1,1,0,1,0,0,0,0,1
1759,2671,0,29,0,0,0,8,2,1,7,8,1,7,0,7,1,1,0,0,0,0,0,1
3532,5400,0,25,0,0,0,7,1,0,9,7,0,4,-1,9,1,1,0,0,0,0,0,0
5441,8288,0,37,0,0,0,5,0,0,8,5,0,2,-1,8,1,1,0,0,0,0,0,0
4199,6406,0,46,1,1,0,6,0,0,15,6,0,7,0,15,1,0,1,0,0,0,0,0
5610,8551,1,46,1,2,0,1,0,0,1,1,-1,1,-1,1,0,0,0,1,0,0,0,0
4274,6522,0,22,-1,0,0,4,1,0,3,4,-1,6,0,3,1,1,0,0,0,0,0,1
2806,4290,0,29,0,0,0,1,0,0,1,1,-1,2,-1,1,1,1,0,0,0,0,0,0
4158,6349,1,31,0,0,0,2,0,0,0,2,-1,2,-1,0,0,1,0,0,0,0,0,0
3156,4825,0,22,-1,0,0,3,0,0,0,3,-1,5,0,0,1,1,0,0,0,0,0,1
4898,7459,0,26,0,0,0,8,0,0,10,8,1,7,0,10,1,1,0,0,0,0,0,1
1869,2842,0,22,-1,0,0,3,0,0,0,3,-1,6,0,0,1,1,0,0,0,0,0,1
3137,4794,0,28,0,0,0,7,0,0,9,7,0,7,0,9,1,1,0,0,0,0,0,1
2203,3361,0,26,0,0,0,6,0,0,1,6,0,7,0,1,1,1,0,0,0,0,0,0
2337,3560,0,40,0,2,0,3,0,0,4,3,-1,4,-1,4,0,0,0,1,0,0,0,0
4821,7344,0,25,0,0,0,5,0,0,2,5,0,5,0,2,1,1,0,0,0,0,0,1
1146,1754,0,35,0,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,0
6013,9180,0,24,-1,0,0,7,0,0,3,7,0,6,0,3,1,1,0,0,0,0,0,0
4146,6328,1,68,1,0,0,2,0,0,5,2,-1,1,-1,5,0,1,0,0,0,0,0,0
6355,9703,1,28,0,0,0,3,0,0,0,3,-1,3,-1,0,0,1,0,0,0,0,0,1
6188,9437,0,23,-1,1,0,9,1,0,2,9,1,7,0,2,1,0,1,0,0,0,0,0
3426,5236,0,25,0,0,0,10,1,1,8,10,1,8,1,8,1,1,0,0,0,0,0,0
5116,7791,0,22,-1,0,0,9,0,0,1,9,1,8,1,1,1,1,0,0,0,0,0,1
2398,3658,0,56,1,5,0,1,0,0,0,1,-1,1,-1,0,0,0,0,0,0,0,1,0
348,518,0,47,1,0,0,3,0,0,3,3,-1,2,-1,3,1,1,0,0,0,0,0,0
2234,3406,0,21,-1,2,0,8,0,0,0,8,1,9,1,0,0,0,0,1,0,0,0,1
1416,2168,0,35,0,1,0,3,0,0,0,3,-1,2,-1,0,1,0,1,0,0,0,0,0
6308,9627,1,29,0,2,0,4,0,0,1,4,-1,2,-1,1,0,0,0,1,0,0,0,1
1502,2300,0,55,1,2,0,6,0,0,13,6,0,7,0,13,0,0,0,1,0,0,0,1
6348,9689,0,26,0,0,0,4,0,0,4,4,-1,6,0,4,1,1,0,0,0,0,0,0
3071,4684,0,35,0,2,0,10,0,0,0,10,1,5,0,0,0,0,0,1,0,0,0,1
788,1197,0,22,-1,0,0,9,1,0,1,9,1,9,1,1,1,1,0,0,0,0,0,1
4285,6536,0,59,1,2,0,1,0,0,3,1,-1,1,-1,3,0,0,0,1,0,0,0,0
216,322,0,45,1,0,0,6,0,0,3,6,0,4,-1,3,1,1,0,0,0,0,0,0
1462,2239,1,30,0,2,0,7,0,0,7,7,0,3,-1,7,0,0,0,1,0,0,0,0
528,808,0,27,0,2,0,4,1,3,6,4,-1,3,-1,6,0,0,0,1,0,0,0,0
5413,8250,0,20,-1,0,4,10,2,1,6,10,1,10,1,6,1,1,0,0,0,0,0,1
4001,6103,0,21,-1,0,0,7,0,1,1,7,0,6,0,1,1,1,0,0,0,0,0,1
5921,9034,0,43,0,0,0,1,0,0,3,1,-1,1,-1,3,1,1,0,0,0,0,0,1
5282,8054,0,53,1,0,0,4,0,0,5,4,-1,1,-1,5,1,1,0,0,0,0,0,0
821,1241,0,34,0,2,0,3,0,0,1,3,-1,2,-1,1,0,0,0,1,0,0,0,1
2644,4032,0,28,0,2,0,4,0,1,2,4,-1,3,-1,2,0,0,0,1,0,0,0,0
6802,10372,0,35,0,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,1
6632,10119,0,22,-1,0,0,9,0,0,2,9,1,10,1,2,1,1,0,0,0,0,0,1
1707,2594,0,49,1,0,0,1,0,0,1,1,-1,1,-1,1,1,1,0,0,0,0,0,0
5521,8413,0,25,0,0,0,5,0,0,3,5,0,5,0,3,1,1,0,0,0,0,0,1
2489,3789,0,29,0,2,0,1,0,0,0,1,-1,2,-1,0,0,0,0,1,0,0,0,0
