id,sex,race,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,c_charge_degree,days_b_screening_arrest,length_of_stay,sensitive,y_charge_mean,charge_id_0,charge_id_1,charge_id_2,charge_id_3,charge_id_4,BlackLatinoMale,African-American,Hispanic,Caucasian,Native American,Asian,Other,y
16,0,2,30,0,0,9,0,0,9,0,9,1,10,1,9,1,0,44,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
17,0,2,55,1,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,2,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
18,1,2,33,0,0,5,0,0,4,1,5,0,2,-1,4,0,-1,11,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
19,0,2,24,-1,0,2,0,0,1,0,2,-1,3,-1,1,0,0,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
20,1,0,21,-1,0,8,0,0,2,1,8,1,8,1,2,1,-1,79,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
21,0,2,25,0,0,10,0,0,9,1,10,1,9,1,9,0,-1,6,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
22,0,0,29,0,0,4,0,0,0,1,4,-1,3,-1,0,1,0,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
23,1,5,28,0,0,2,0,0,0,1,2,-1,2,-1,0,1,-1,0,7,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
24,0,0,31,0,0,5,0,1,15,1,5,0,7,0,15,1,-1,135,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
25,0,0,49,1,0,1,0,0,4,1,1,-1,1,-1,4,0,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
26,0,2,53,1,0,5,0,0,8,13,5,0,2,-1,8,1,-13,13,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
27,0,2,38,0,0,2,0,0,4,1,2,-1,2,-1,4,0,-1,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
28,0,0,22,-1,0,4,0,1,1,1,4,-1,6,0,1,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
29,0,0,29,0,0,9,0,0,4,1,9,1,5,0,4,1,-1,18,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
30,0,0,27,0,0,6,1,0,6,0,6,0,3,-1,6,1,0,30,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
31,0,5,33,0,0,1,0,0,0,1,1,-1,1,-1,0,0,-1,1,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
32,1,0,56,1,0,1,0,0,0,1,1,-1,1,-1,0,0,0,3,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
33,0,3,22,-1,0,4,0,0,1,1,4,-1,6,0,1,1,-1,1,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
34,0,0,39,0,0,4,0,0,1,1,4,-1,2,-1,1,0,-1,4,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
35,0,0,29,0,0,6,0,0,5,0,6,0,3,-1,5,1,0,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
36,0,2,27,0,0,6,0,1,1,1,6,0,3,-1,1,1,-1,14,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
37,0,0,40,0,0,2,0,0,2,15,2,-1,1,-1,2,1,-15,3,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
38,0,0,22,-1,0,3,0,0,1,1,3,-1,3,-1,1,0,0,16,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
39,0,2,22,-1,0,8,0,0,0,1,8,1,6,0,0,1,-1,57,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
40,0,0,32,0,0,2,0,0,0,1,2,-1,1,-1,0,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
41,0,0,41,0,0,2,0,0,1,5185,2,-1,2,-1,1,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
42,0,5,50,1,0,1,0,0,0,1,1,-1,2,-1,0,1,-1,0,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
43,0,0,25,0,1,10,6,1,14,1,10,1,10,1,14,1,-1,7,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
44,0,5,20,-1,0,5,0,0,0,1,5,0,8,1,0,1,-1,1,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
45,1,0,35,0,0,2,0,0,1,1,2,-1,1,-1,1,0,-1,0,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
46,0,2,26,0,0,8,0,0,7,1,8,1,4,-1,7,1,0,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
47,0,5,21,-1,0,6,0,0,1,1,6,0,6,0,1,1,0,3,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
48,1,3,44,0,0,1,0,0,0,2,1,-1,1,-1,0,0,-2,1,5,0.43504204,0,0,0,0,1,0,0,1,0,0,0,0,0
49,0,0,19,-1,0,4,0,0,1,10,4,-1,7,0,1,0,-10,9,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
50,1,2,39,0,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,1,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
51,0,2,31,0,0,5,0,0,0,1,5,0,2,-1,0,0,-1,38,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
52,0,0,21,-1,0,9,0,0,3,1,9,1,6,0,3,1,-1,6,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
53,0,2,34,0,0,5,0,0,0,0,5,0,5,0,0,1,0,14,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
54,0,0,31,0,0,7,0,0,1,1,7,0,8,1,1,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
55,0,2,31,0,0,10,0,0,13,0,10,1,7,0,13,1,-1,471,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
56,0,2,52,1,0,9,0,0,3,2,9,1,6,0,3,0,-2,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
57,0,0,33,0,0,10,0,0,19,1,10,1,7,0,19,1,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
58,1,2,25,0,0,4,0,0,2,1,4,-1,5,0,2,1,-1,3,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
59,0,2,28,0,0,2,0,0,0,1,2,-1,3,-1,0,0,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
60,1,0,24,-1,0,2,0,0,0,1,2,-1,3,-1,0,0,-1,2,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
61,1,2,29,0,0,4,1,0,10,1,4,-1,2,-1,10,1,-1,7,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
62,0,2,44,0,0,2,0,0,2,1,2,-1,1,-1,2,0,0,-1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
63,1,0,20,-1,1,10,0,0,1,0,10,1,10,1,1,1,0,2,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
64,0,0,33,0,0,5,0,0,8,1,5,0,2,-1,8,0,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
65,0,0,27,0,0,9,0,0,2,1,9,1,8,1,2,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
66,1,0,20,-1,0,6,0,0,0,1,6,0,8,1,0,1,0,0,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
67,1,2,26,0,0,6,0,0,0,2,6,0,3,-1,0,0,-2,0,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
68,0,5,52,1,0,7,0,0,13,1,7,0,6,0,13,1,-1,1,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
69,0,3,63,1,0,1,0,0,1,26,1,-1,1,-1,1,1,-26,14,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
70,1,0,32,0,0,10,0,0,4,7,10,1,9,1,4,1,-7,6,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,1
71,0,3,29,0,0,4,0,0,1,1,4,-1,4,-1,1,1,-1,0,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
72,0,0,30,0,0,7,0,0,1,1,7,0,8,1,1,1,0,70,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
73,0,2,48,1,0,2,0,0,2,1,2,-1,1,-1,2,0,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
74,0,0,22,-1,0,2,0,0,1,1,2,-1,4,-1,1,1,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
75,0,0,25,0,0,2,0,0,1,1,2,-1,3,-1,1,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
76,1,0,32,0,0,7,0,0,5,1,7,0,3,-1,5,1,-1,1,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
77,0,3,31,0,0,9,0,0,8,61,9,1,7,0,8,1,29,117,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,1
78,0,3,54,1,0,1,0,0,2,1,1,-1,1,-1,2,1,-1,188,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
79,0,5,24,-1,0,2,0,0,0,1,2,-1,4,-1,0,1,-1,1,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
80,0,0,23,-1,0,2,0,0,0,1,2,-1,4,-1,0,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
81,0,0,37,0,0,9,0,0,2,0,9,1,8,1,2,0,0,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
82,0,0,34,0,0,2,0,0,2,1,2,-1,1,-1,2,0,0,25,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
83,1,0,23,-1,0,4,0,0,1,1,4,-1,4,-1,1,0,-1,0,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
84,0,5,36,0,0,3,0,0,2,1,3,-1,1,-1,2,0,-1,2,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
85,0,2,44,0,0,4,0,0,4,0,4,-1,4,-1,4,0,0,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
86,1,0,35,0,0,9,1,0,23,1,9,1,9,1,23,1,-1,2,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,1
87,0,5,24,-1,0,5,0,0,5,1,5,0,4,-1,5,1,-1,0,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
88,0,0,26,0,0,10,0,0,2,1,10,1,8,1,2,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
89,0,0,27,0,0,2,0,0,0,1,2,-1,3,-1,0,0,-1,2,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
90,1,0,28,0,0,8,0,0,0,1,8,1,6,0,0,1,0,29,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
91,1,2,28,0,0,9,0,0,7,1,9,1,6,0,7,1,-1,1,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
92,1,0,28,0,0,9,0,0,1,1,9,1,7,0,1,1,-1,38,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
93,0,2,51,1,0,2,0,0,0,1,2,-1,2,-1,0,0,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
94,0,0,48,1,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
95,0,2,37,0,0,3,0,0,4,0,3,-1,4,-1,4,1,0,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
96,1,0,30,0,0,7,0,0,2,1,7,0,4,-1,2,1,-1,2,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
97,1,0,41,0,0,6,0,0,5,1,6,0,3,-1,5,0,0,0,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
98,0,0,27,0,0,10,0,0,11,1,10,1,9,1,11,1,-1,223,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
99,0,0,37,0,0,1,0,0,0,1,1,-1,1,-1,0,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
100,0,5,33,0,0,4,0,0,4,1,4,-1,2,-1,4,1,0,2,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
101,0,0,54,1,0,9,0,0,11,1,9,1,9,1,11,1,-1,129,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
102,0,0,23,-1,0,9,0,0,2,1,9,1,5,0,2,1,-1,71,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
103,0,0,41,0,0,1,0,0,0,0,1,-1,1,-1,0,0,0,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
104,0,2,52,1,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
105,0,2,28,0,0,1,0,0,1,3,1,-1,2,-1,1,1,-3,3,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
106,0,0,30,0,0,9,0,2,11,1,9,1,4,-1,11,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
107,0,2,28,0,0,5,0,0,1,0,5,0,3,-1,1,1,0,6,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
108,0,2,31,0,0,8,0,0,0,1,8,1,5,0,0,1,-1,30,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
109,0,2,37,0,0,2,0,0,0,1,2,-1,1,-1,0,1,-1,35,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
110,0,0,32,0,0,9,1,0,14,1,9,1,8,1,14,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
111,0,2,53,1,0,1,0,0,1,1,1,-1,1,-1,1,0,-1,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
112,0,0,28,0,0,8,0,0,25,70,8,1,9,1,25,1,29,25,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
113,0,2,44,0,0,5,0,0,8,1,5,0,3,-1,8,0,-1,4,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
114,0,0,25,0,0,3,0,0,0,1,3,-1,4,-1,0,1,0,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
115,1,5,37,0,0,1,0,0,0,2,1,-1,1,-1,0,0,-1,1,7,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
116,1,3,31,0,0,2,0,0,0,1,2,-1,2,-1,0,0,-1,0,5,0.43504204,0,0,0,0,1,0,0,1,0,0,0,0,0
117,0,3,23,-1,0,6,0,1,1,1,6,0,4,-1,1,1,-1,1,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,1
118,1,2,23,-1,0,5,0,4,5,1,5,0,7,0,5,1,-1,0,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
119,0,0,29,0,0,3,0,0,1,1,3,-1,3,-1,1,0,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
120,0,0,20,-1,0,8,0,0,1,1,8,1,7,0,1,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
121,0,0,30,0,0,6,0,0,2,1,6,0,5,0,2,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
122,0,0,27,0,0,4,0,0,4,1,4,-1,4,-1,4,1,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
123,1,0,37,0,0,1,0,0,2,0,1,-1,1,-1,2,1,0,0,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
124,0,0,20,-1,0,8,0,0,0,1,8,1,6,0,0,1,-1,2,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
125,1,0,52,1,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,0,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
126,1,0,23,-1,0,4,0,0,0,1,4,-1,4,-1,0,1,-1,3,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,1
127,1,0,48,1,0,2,0,0,0,1,2,-1,3,-1,0,1,-1,1,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
128,0,2,27,0,0,6,0,0,0,1,6,0,7,0,0,1,-1,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
129,0,0,22,-1,0,10,1,1,3,1,10,1,7,0,3,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
130,1,0,41,0,0,3,0,0,2,1,3,-1,1,-1,2,0,-1,0,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
131,1,5,25,0,0,2,0,0,0,1,2,-1,3,-1,0,1,-1,0,7,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
132,0,0,43,0,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,41,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
133,0,2,37,0,0,1,0,0,3,4,1,-1,1,-1,3,1,-4,2,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
134,0,2,70,1,0,1,0,0,1,13,1,-1,1,-1,1,0,-13,12,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
135,0,2,46,1,0,4,0,0,3,1,4,-1,2,-1,3,1,-1,14,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
136,0,0,26,0,0,8,0,0,1,1,8,1,6,0,1,0,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
137,0,2,34,0,0,4,0,0,5,1,4,-1,4,-1,5,0,-1,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
138,0,2,23,-1,0,5,0,0,0,1,5,0,5,0,0,1,0,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
139,0,0,39,0,0,3,0,0,6,1,3,-1,1,-1,6,1,-1,2,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
140,1,0,21,-1,0,6,0,0,0,0,6,0,7,0,0,0,0,0,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
141,0,2,62,1,0,1,0,0,0,0,1,-1,1,-1,0,1,0,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
142,0,2,37,0,0,3,0,0,5,1,3,-1,1,-1,5,1,-1,10,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
143,0,5,43,0,0,2,0,0,2,1,2,-1,1,-1,2,1,-1,7,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
144,1,0,32,0,0,1,0,0,5,2,1,-1,1,-1,5,1,0,-1,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
145,0,3,23,-1,0,3,0,0,0,1,3,-1,5,0,0,1,-1,45,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
146,0,0,27,0,0,1,0,0,0,1,1,-1,2,-1,0,0,0,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
147,0,2,44,0,0,1,0,0,0,1,1,-1,1,-1,0,0,-1,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
148,0,2,28,0,0,3,0,0,3,1,3,-1,3,-1,3,0,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
149,0,5,24,-1,0,10,1,0,9,1,10,1,10,1,9,1,-1,4,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
150,0,0,27,0,0,2,0,0,0,0,2,-1,3,-1,0,1,0,17,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
151,0,0,20,-1,0,10,0,0,0,1,10,1,9,1,0,1,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
152,1,2,51,1,0,1,0,0,0,1,1,-1,1,-1,0,0,0,1,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
153,0,2,56,1,0,1,0,0,0,1,1,-1,1,-1,0,0,0,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
154,0,0,29,0,0,9,0,0,7,1,9,1,6,0,7,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
155,0,0,20,-1,0,9,0,0,0,1,9,1,8,1,0,1,-1,209,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
156,0,2,27,0,0,5,0,0,8,1,5,0,3,-1,8,1,-1,68,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
157,0,0,24,-1,0,9,1,0,2,1,9,1,9,1,2,1,-1,19,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
158,0,2,28,0,0,3,0,0,2,1,3,-1,4,-1,2,0,0,1,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
159,0,3,21,-1,0,5,1,0,3,22,5,0,6,0,3,1,-22,22,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
160,1,0,36,0,0,7,0,0,0,1,7,0,5,0,0,1,-1,12,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,0
161,1,0,21,-1,0,8,0,0,0,1,8,1,7,0,0,1,-1,1,1,0.43504204,0,0,0,0,1,0,1,0,0,0,0,0,1
162,0,0,24,-1,0,3,0,0,0,1,3,-1,4,-1,0,1,-1,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
163,0,5,30,0,0,2,0,0,1,1,2,-1,2,-1,1,1,-1,0,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,1
164,0,0,29,0,0,1,0,0,0,1,1,-1,2,-1,0,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
165,1,2,30,0,0,6,0,0,0,1,6,0,2,-1,0,0,0,3,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
166,0,3,51,1,0,1,0,0,1,2,1,-1,1,-1,1,0,-1,1,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
167,0,0,32,0,0,9,1,0,12,1,9,1,7,0,12,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
168,0,0,23,-1,0,6,0,1,1,1,6,0,5,0,1,1,0,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
169,0,0,47,1,0,3,0,0,3,0,3,-1,2,-1,3,1,0,0,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
170,0,3,27,0,0,8,0,0,0,1,8,1,6,0,0,0,-1,2,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
171,0,5,39,0,0,1,0,0,0,1,1,-1,1,-1,0,0,-1,0,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
172,0,2,69,1,0,1,0,0,0,1,1,-1,1,-1,0,0,-1,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
173,0,2,21,-1,0,6,0,0,2,1,6,0,6,0,2,1,-1,2,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
174,0,0,26,0,0,10,0,1,6,0,10,1,10,1,6,0,0,3,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
175,0,0,49,1,0,5,0,0,3,1,5,0,4,-1,3,1,0,3,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
176,0,0,29,0,0,4,0,1,2,1,4,-1,3,-1,2,0,-1,50,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
177,1,2,60,1,0,1,0,0,0,1,1,-1,1,-1,0,0,-1,0,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
178,1,5,20,-1,1,4,0,0,1,21,4,-1,7,0,1,1,-21,2,7,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
179,0,0,21,-1,0,3,1,0,1,2,3,-1,6,0,1,1,-1,-1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
180,0,0,21,-1,0,9,0,0,4,0,9,1,6,0,4,1,-1,219,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
181,0,0,21,-1,0,5,0,0,0,1,5,0,6,0,0,1,-1,12,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
182,0,2,34,0,0,1,0,0,1,0,1,-1,1,-1,1,0,0,0,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
