id,sex,race,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,c_charge_degree,days_b_screening_arrest,length_of_stay,y,sensitive,y_charge_mean,charge_id_0,charge_id_1,charge_id_2,charge_id_3,charge_id_4
42,0,5,50,1,0,1,0,0,0,1.0,1,-1,2,-1,0,1,-1.0,0,1,6,0.4350420395985896,0,0,0,0,1
43,0,0,25,0,1,10,6,1,14,1.0,10,1,10,1,14,1,-1.0,7,1,0,0.4350420395985896,0,0,0,0,1
44,0,5,20,-1,0,5,0,0,0,1.0,5,0,8,1,0,1,-1.0,1,1,6,0.4350420395985896,0,0,0,0,1
45,1,0,35,0,0,2,0,0,1,1.0,2,-1,1,-1,1,0,-1.0,0,0,1,0.4350420395985896,0,0,0,0,1
46,0,2,26,0,0,8,0,0,7,1.0,8,1,4,-1,7,1,0.0,0,1,2,0.4350420395985896,0,0,0,0,1
47,0,5,21,-1,0,6,0,0,1,1.0,6,0,6,0,1,1,0.0,3,1,6,0.4350420395985896,0,0,0,0,1
48,1,3,44,0,0,1,0,0,0,2.0,1,-1,1,-1,0,0,-2.0,1,0,5,0.4350420395985896,0,0,0,0,1
49,0,0,19,-1,0,4,0,0,1,10.0,4,-1,7,0,1,0,-10.0,9,1,0,0.4350420395985896,0,0,0,0,1
50,1,2,39,0,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,1,1,3,0.4350420395985896,0,0,0,0,1
51,0,2,31,0,0,5,0,0,0,1.0,5,0,2,-1,0,0,-1.0,38,0,2,0.4350420395985896,0,0,0,0,1
52,0,0,21,-1,0,9,0,0,3,1.0,9,1,6,0,3,1,-1.0,6,1,0,0.4350420395985896,0,0,0,0,1
53,0,2,34,0,0,5,0,0,0,0.0,5,0,5,0,0,1,0.0,14,0,2,0.4350420395985896,0,0,0,0,1
54,0,0,31,0,0,7,0,0,1,1.0,7,0,8,1,1,0,-1.0,1,0,0,0.4350420395985896,0,0,0,0,1
55,0,2,31,0,0,10,0,0,13,0.0,10,1,7,0,13,1,-1.0,471,1,2,0.4350420395985896,0,0,0,0,1
56,0,2,52,1,0,9,0,0,3,2.0,9,1,6,0,3,0,-2.0,0,0,2,0.4350420395985896,0,0,0,0,1
57,0,0,33,0,0,10,0,0,19,1.0,10,1,7,0,19,1,-1.0,0,1,0,0.4350420395985896,0,0,0,0,1
58,1,2,25,0,0,4,0,0,2,1.0,4,-1,5,0,2,1,-1.0,3,0,3,0.4350420395985896,0,0,0,0,1
59,0,2,28,0,0,2,0,0,0,1.0,2,-1,3,-1,0,0,-1.0,0,1,2,0.4350420395985896,0,0,0,0,1
60,1,0,24,-1,0,2,0,0,0,1.0,2,-1,3,-1,0,0,-1.0,2,0,1,0.4350420395985896,0,0,0,0,1
61,1,2,29,0,0,4,1,0,10,1.0,4,-1,2,-1,10,1,-1.0,7,1,3,0.4350420395985896,0,0,0,0,1
62,0,2,44,0,0,2,0,0,2,1.0,2,-1,1,-1,2,0,0.0,-1,1,2,0.4350420395985896,0,0,0,0,1
63,1,0,20,-1,1,10,0,0,1,0.0,10,1,10,1,1,1,0.0,2,0,1,0.4350420395985896,0,0,0,0,1
64,0,0,33,0,0,5,0,0,8,1.0,5,0,2,-1,8,0,-1.0,0,1,0,0.4350420395985896,0,0,0,0,1
65,0,0,27,0,0,9,0,0,2,1.0,9,1,8,1,2,1,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
66,1,0,20,-1,0,6,0,0,0,1.0,6,0,8,1,0,1,0.0,0,0,1,0.4350420395985896,0,0,0,0,1
67,1,2,26,0,0,6,0,0,0,2.0,6,0,3,-1,0,0,-2.0,0,0,3,0.4350420395985896,0,0,0,0,1
68,0,5,52,1,0,7,0,0,13,1.0,7,0,6,0,13,1,-1.0,1,1,6,0.4350420395985896,0,0,0,0,1
69,0,3,63,1,0,1,0,0,1,26.0,1,-1,1,-1,1,1,-26.0,14,0,4,0.4350420395985896,0,0,0,0,1
70,1,0,32,0,0,10,0,0,4,7.0,10,1,9,1,4,1,-7.0,6,1,1,0.4350420395985896,0,0,0,0,1
71,0,3,29,0,0,4,0,0,1,1.0,4,-1,4,-1,1,1,-1.0,0,0,4,0.4350420395985896,0,0,0,0,1
72,0,0,30,0,0,7,0,0,1,1.0,7,0,8,1,1,1,0.0,70,0,0,0.4350420395985896,0,0,0,0,1
73,0,2,48,1,0,2,0,0,2,1.0,2,-1,1,-1,2,0,-1.0,0,0,2,0.4350420395985896,0,0,0,0,1
74,0,0,22,-1,0,2,0,0,1,1.0,2,-1,4,-1,1,1,-1.0,0,0,0,0.4350420395985896,0,0,0,0,1
75,0,0,25,0,0,2,0,0,1,1.0,2,-1,3,-1,1,0,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
76,1,0,32,0,0,7,0,0,5,1.0,7,0,3,-1,5,1,-1.0,1,0,1,0.4350420395985896,0,0,0,0,1
77,0,3,31,0,0,9,0,0,8,61.0,9,1,7,0,8,1,29.0,117,1,4,0.4350420395985896,0,0,0,0,1
78,0,3,54,1,0,1,0,0,2,1.0,1,-1,1,-1,2,1,-1.0,188,0,4,0.4350420395985896,0,0,0,0,1
79,0,5,24,-1,0,2,0,0,0,1.0,2,-1,4,-1,0,1,-1.0,1,0,6,0.4350420395985896,0,0,0,0,1
80,0,0,23,-1,0,2,0,0,0,1.0,2,-1,4,-1,0,0,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
81,0,0,37,0,0,9,0,0,2,0.0,9,1,8,1,2,0,0.0,0,1,0,0.4350420395985896,0,0,0,0,1
82,0,0,34,0,0,2,0,0,2,1.0,2,-1,1,-1,2,0,0.0,25,0,0,0.4350420395985896,0,0,0,0,1
83,1,0,23,-1,0,4,0,0,1,1.0,4,-1,4,-1,1,0,-1.0,0,0,1,0.4350420395985896,0,0,0,0,1
84,0,5,36,0,0,3,0,0,2,1.0,3,-1,1,-1,2,0,-1.0,2,1,6,0.4350420395985896,0,0,0,0,1
85,0,2,44,0,0,4,0,0,4,0.0,4,-1,4,-1,4,0,0.0,1,0,2,0.4350420395985896,0,0,0,0,1
86,1,0,35,0,0,9,1,0,23,1.0,9,1,9,1,23,1,-1.0,2,1,1,0.4350420395985896,0,0,0,0,1
87,0,5,24,-1,0,5,0,0,5,1.0,5,0,4,-1,5,1,-1.0,0,1,6,0.4350420395985896,0,0,0,0,1
88,0,0,26,0,0,10,0,0,2,1.0,10,1,8,1,2,1,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
89,0,0,27,0,0,2,0,0,0,1.0,2,-1,3,-1,0,0,-1.0,2,0,0,0.4350420395985896,0,0,0,0,1
90,1,0,28,0,0,8,0,0,0,1.0,8,1,6,0,0,1,0.0,29,0,1,0.4350420395985896,0,0,0,0,1
91,1,2,28,0,0,9,0,0,7,1.0,9,1,6,0,7,1,-1.0,1,1,3,0.4350420395985896,0,0,0,0,1
92,1,0,28,0,0,9,0,0,1,1.0,9,1,7,0,1,1,-1.0,38,0,1,0.4350420395985896,0,0,0,0,1
93,0,2,51,1,0,2,0,0,0,1.0,2,-1,2,-1,0,0,-1.0,0,0,2,0.4350420395985896,0,0,0,0,1
94,0,0,48,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,1,0,0,0.4350420395985896,0,0,0,0,1
95,0,2,37,0,0,3,0,0,4,0.0,3,-1,4,-1,4,1,0.0,1,1,2,0.4350420395985896,0,0,0,0,1
96,1,0,30,0,0,7,0,0,2,1.0,7,0,4,-1,2,1,-1.0,2,0,1,0.4350420395985896,0,0,0,0,1
97,1,0,41,0,0,6,0,0,5,1.0,6,0,3,-1,5,0,0.0,0,0,1,0.4350420395985896,0,0,0,0,1
98,0,0,27,0,0,10,0,0,11,1.0,10,1,9,1,11,1,-1.0,223,1,0,0.4350420395985896,0,0,0,0,1
99,0,0,37,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,1,0,0,0.4350420395985896,0,0,0,0,1
100,0,5,33,0,0,4,0,0,4,1.0,4,-1,2,-1,4,1,0.0,2,1,6,0.4350420395985896,0,0,0,0,1
101,0,0,54,1,0,9,0,0,11,1.0,9,1,9,1,11,1,-1.0,129,0,0,0.4350420395985896,0,0,0,0,1
102,0,0,23,-1,0,9,0,0,2,1.0,9,1,5,0,2,1,-1.0,71,0,0,0.4350420395985896,0,0,0,0,1
103,0,0,41,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0,0,0,0.4350420395985896,0,0,0,0,1
104,0,2,52,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,0,0,2,0.4350420395985896,0,0,0,0,1
105,0,2,28,0,0,1,0,0,1,3.0,1,-1,2,-1,1,1,-3.0,3,0,2,0.4350420395985896,0,0,0,0,1
106,0,0,30,0,0,9,0,2,11,1.0,9,1,4,-1,11,0,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
107,0,2,28,0,0,5,0,0,1,0.0,5,0,3,-1,1,1,0.0,6,0,2,0.4350420395985896,0,0,0,0,1
108,0,2,31,0,0,8,0,0,0,1.0,8,1,5,0,0,1,-1.0,30,1,2,0.4350420395985896,0,0,0,0,1
109,0,2,37,0,0,2,0,0,0,1.0,2,-1,1,-1,0,1,-1.0,35,1,2,0.4350420395985896,0,0,0,0,1
110,0,0,32,0,0,9,1,0,14,1.0,9,1,8,1,14,1,-1.0,1,0,0,0.4350420395985896,0,0,0,0,1
111,0,2,53,1,0,1,0,0,1,1.0,1,-1,1,-1,1,0,-1.0,1,0,2,0.4350420395985896,0,0,0,0,1
112,0,0,28,0,0,8,0,0,25,70.0,8,1,9,1,25,1,29.0,25,1,0,0.4350420395985896,0,0,0,0,1
113,0,2,44,0,0,5,0,0,8,1.0,5,0,3,-1,8,0,-1.0,4,1,2,0.4350420395985896,0,0,0,0,1
114,0,0,25,0,0,3,0,0,0,1.0,3,-1,4,-1,0,1,0.0,0,0,0,0.4350420395985896,0,0,0,0,1
115,1,5,37,0,0,1,0,0,0,2.0,1,-1,1,-1,0,0,-1.0,1,0,7,0.4350420395985896,0,0,0,0,1
116,1,3,31,0,0,2,0,0,0,1.0,2,-1,2,-1,0,0,-1.0,0,0,5,0.4350420395985896,0,0,0,0,1
117,0,3,23,-1,0,6,0,1,1,1.0,6,0,4,-1,1,1,-1.0,1,1,4,0.4350420395985896,0,0,0,0,1
118,1,2,23,-1,0,5,0,4,5,1.0,5,0,7,0,5,1,-1.0,0,1,3,0.4350420395985896,0,0,0,0,1
119,0,0,29,0,0,3,0,0,1,1.0,3,-1,3,-1,1,0,-1.0,0,0,0,0.4350420395985896,0,0,0,0,1
120,0,0,20,-1,0,8,0,0,1,1.0,8,1,7,0,1,1,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
121,0,0,30,0,0,6,0,0,2,1.0,6,0,5,0,2,1,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
122,0,0,27,0,0,4,0,0,4,1.0,4,-1,4,-1,4,1,-1.0,0,0,0,0.4350420395985896,0,0,0,0,1
123,1,0,37,0,0,1,0,0,2,0.0,1,-1,1,-1,2,1,0.0,0,0,1,0.4350420395985896,0,0,0,0,1
124,0,0,20,-1,0,8,0,0,0,1.0,8,1,6,0,0,1,-1.0,2,0,0,0.4350420395985896,0,0,0,0,1
125,1,0,52,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,0,0,1,0.4350420395985896,0,0,0,0,1
126,1,0,23,-1,0,4,0,0,0,1.0,4,-1,4,-1,0,1,-1.0,3,1,1,0.4350420395985896,0,0,0,0,1
127,1,0,48,1,0,2,0,0,0,1.0,2,-1,3,-1,0,1,-1.0,1,0,1,0.4350420395985896,0,0,0,0,1
128,0,2,27,0,0,6,0,0,0,1.0,6,0,7,0,0,1,-1.0,1,1,2,0.4350420395985896,0,0,0,0,1
129,0,0,22,-1,0,10,1,1,3,1.0,10,1,7,0,3,0,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
130,1,0,41,0,0,3,0,0,2,1.0,3,-1,1,-1,2,0,-1.0,0,0,1,0.4350420395985896,0,0,0,0,1
131,1,5,25,0,0,2,0,0,0,1.0,2,-1,3,-1,0,1,-1.0,0,0,7,0.4350420395985896,0,0,0,0,1
132,0,0,43,0,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,41,0,0,0.4350420395985896,0,0,0,0,1
133,0,2,37,0,0,1,0,0,3,4.0,1,-1,1,-1,3,1,-4.0,2,0,2,0.4350420395985896,0,0,0,0,1
134,0,2,70,1,0,1,0,0,1,13.0,1,-1,1,-1,1,0,-13.0,12,0,2,0.4350420395985896,0,0,0,0,1
135,0,2,46,1,0,4,0,0,3,1.0,4,-1,2,-1,3,1,-1.0,14,0,2,0.4350420395985896,0,0,0,0,1
136,0,0,26,0,0,8,0,0,1,1.0,8,1,6,0,1,0,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
137,0,2,34,0,0,4,0,0,5,1.0,4,-1,4,-1,5,0,-1.0,1,0,2,0.4350420395985896,0,0,0,0,1
138,0,2,23,-1,0,5,0,0,0,1.0,5,0,5,0,0,1,0.0,0,1,2,0.4350420395985896,0,0,0,0,1
139,0,0,39,0,0,3,0,0,6,1.0,3,-1,1,-1,6,1,-1.0,2,1,0,0.4350420395985896,0,0,0,0,1
140,1,0,21,-1,0,6,0,0,0,0.0,6,0,7,0,0,0,0.0,0,0,1,0.4350420395985896,0,0,0,0,1
141,0,2,62,1,0,1,0,0,0,0.0,1,-1,1,-1,0,1,0.0,1,0,2,0.4350420395985896,0,0,0,0,1
142,0,2,37,0,0,3,0,0,5,1.0,3,-1,1,-1,5,1,-1.0,10,0,2,0.4350420395985896,0,0,0,0,1
143,0,5,43,0,0,2,0,0,2,1.0,2,-1,1,-1,2,1,-1.0,7,1,6,0.4350420395985896,0,0,0,0,1
144,1,0,32,0,0,1,0,0,5,2.0,1,-1,1,-1,5,1,0.0,-1,0,1,0.4350420395985896,0,0,0,0,1
145,0,3,23,-1,0,3,0,0,0,1.0,3,-1,5,0,0,1,-1.0,45,0,4,0.4350420395985896,0,0,0,0,1
146,0,0,27,0,0,1,0,0,0,1.0,1,-1,2,-1,0,0,0.0,0,0,0,0.4350420395985896,0,0,0,0,1
147,0,2,44,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,1,1,2,0.4350420395985896,0,0,0,0,1
148,0,2,28,0,0,3,0,0,3,1.0,3,-1,3,-1,3,0,-1.0,0,1,2,0.4350420395985896,0,0,0,0,1
149,0,5,24,-1,0,10,1,0,9,1.0,10,1,10,1,9,1,-1.0,4,1,6,0.4350420395985896,0,0,0,0,1
150,0,0,27,0,0,2,0,0,0,0.0,2,-1,3,-1,0,1,0.0,17,0,0,0.4350420395985896,0,0,0,0,1
151,0,0,20,-1,0,10,0,0,0,1.0,10,1,9,1,0,1,-1.0,0,1,0,0.4350420395985896,0,0,0,0,1
152,1,2,51,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,1,0,3,0.4350420395985896,0,0,0,0,1
153,0,2,56,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,1,0,2,0.4350420395985896,0,0,0,0,1
154,0,0,29,0,0,9,0,0,7,1.0,9,1,6,0,7,1,-1.0,1,0,0,0.4350420395985896,0,0,0,0,1
155,0,0,20,-1,0,9,0,0,0,1.0,9,1,8,1,0,1,-1.0,209,1,0,0.4350420395985896,0,0,0,0,1
156,0,2,27,0,0,5,0,0,8,1.0,5,0,3,-1,8,1,-1.0,68,0,2,0.4350420395985896,0,0,0,0,1
157,0,0,24,-1,0,9,1,0,2,1.0,9,1,9,1,2,1,-1.0,19,1,0,0.4350420395985896,0,0,0,0,1
158,0,2,28,0,0,3,0,0,2,1.0,3,-1,4,-1,2,0,0.0,1,1,2,0.4350420395985896,0,0,0,0,1
159,0,3,21,-1,0,5,1,0,3,22.0,5,0,6,0,3,1,-22.0,22,0,4,0.4350420395985896,0,0,0,0,1
160,1,0,36,0,0,7,0,0,0,1.0,7,0,5,0,0,1,-1.0,12,0,1,0.4350420395985896,0,0,0,0,1
161,1,0,21,-1,0,8,0,0,0,1.0,8,1,7,0,0,1,-1.0,1,1,1,0.4350420395985896,0,0,0,0,1
162,0,0,24,-1,0,3,0,0,0,1.0,3,-1,4,-1,0,1,-1.0,0,0,0,0.4350420395985896,0,0,0,0,1
163,0,5,30,0,0,2,0,0,1,1.0,2,-1,2,-1,1,1,-1.0,0,1,6,0.4350420395985896,0,0,0,0,1
164,0,0,29,0,0,1,0,0,0,1.0,1,-1,2,-1,0,1,-1.0,1,0,0,0.4350420395985896,0,0,0,0,1
165,1,2,30,0,0,6,0,0,0,1.0,6,0,2,-1,0,0,0.0,3,0,3,0.4350420395985896,0,0,0,0,1
166,0,3,51,1,0,1,0,0,1,2.0,1,-1,1,-1,1,0,-1.0,1,0,4,0.4350420395985896,0,0,0,0,1
167,0,0,32,0,0,9,1,0,12,1.0,9,1,7,0,12,1,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
168,0,0,23,-1,0,6,0,1,1,1.0,6,0,5,0,1,1,0.0,1,0,0,0.4350420395985896,0,0,0,0,1
169,0,0,47,1,0,3,0,0,3,0.0,3,-1,2,-1,3,1,0.0,0,0,0,0.4350420395985896,0,0,0,0,1
170,0,3,27,0,0,8,0,0,0,1.0,8,1,6,0,0,0,-1.0,2,0,4,0.4350420395985896,0,0,0,0,1
171,0,5,39,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,0,0,6,0.4350420395985896,0,0,0,0,1
172,0,2,69,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,0,0,2,0.4350420395985896,0,0,0,0,1
173,0,2,21,-1,0,6,0,0,2,1.0,6,0,6,0,2,1,-1.0,2,0,2,0.4350420395985896,0,0,0,0,1
174,0,0,26,0,0,10,0,1,6,0.0,10,1,10,1,6,0,0.0,3,1,0,0.4350420395985896,0,0,0,0,1
175,0,0,49,1,0,5,0,0,3,1.0,5,0,4,-1,3,1,0.0,3,0,0,0.4350420395985896,0,0,0,0,1
176,0,0,29,0,0,4,0,1,2,1.0,4,-1,3,-1,2,0,-1.0,50,0,0,0.4350420395985896,0,0,0,0,1
177,1,2,60,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,0,0,3,0.4350420395985896,0,0,0,0,1
178,1,5,20,-1,1,4,0,0,1,21.0,4,-1,7,0,1,1,-21.0,2,0,7,0.4350420395985896,0,0,0,0,1
179,0,0,21,-1,0,3,1,0,1,2.0,3,-1,6,0,1,1,-1.0,-1,0,0,0.4350420395985896,0,0,0,0,1
180,0,0,21,-1,0,9,0,0,4,0.0,9,1,6,0,4,1,-1.0,219,1,0,0.4350420395985896,0,0,0,0,1
181,0,0,21,-1,0,5,0,0,0,1.0,5,0,6,0,0,1,-1.0,12,1,0,0.4350420395985896,0,0,0,0,1
182,0,2,34,0,0,1,0,0,1,0.0,1,-1,1,-1,1,0,0.0,0,0,2,0.4350420395985896,0,0,0,0,1
183,1,2,50,1,0,1,0,0,1,1.0,1,-1,1,-1,1,0,-1.0,0,1,3,0.4350420395985896,0,0,0,0,1
184,0,2,40,0,0,7,0,0,0,1.0,7,0,9,1,0,1,-1.0,8,1,2,0.4350420395985896,0,0,0,0,1
185,1,2,53,1,0,1,0,0,1,1.0,1,-1,1,-1,1,0,-1.0,0,0,3,0.4350420395985896,0,0,0,0,1
186,1,0,24,-1,0,4,0,0,0,1.0,4,-1,4,-1,0,1,-1.0,1,0,1,0.4350420395985896,0,0,0,0,1
187,0,0,42,0,0,1,0,0,1,13.0,1,-1,1,-1,1,1,-12.0,4,0,0,0.4350420395985896,0,0,0,0,1
188,0,0,28,0,0,3,0,0,1,1.0,3,-1,3,-1,1,0,-1.0,1,0,0,0.4350420395985896,0,0,0,0,1
189,0,0,26,0,1,8,1,0,6,1.0,8,1,3,-1,6,1,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
190,0,0,22,-1,0,9,0,0,4,1.0,9,1,9,1,4,1,-1.0,260,1,0,0.4350420395985896,0,0,0,0,1
191,0,2,21,-1,0,7,0,0,3,8.0,7,0,8,1,3,0,-8.0,5,0,2,0.4350420395985896,0,0,0,0,1
192,0,0,37,0,0,9,0,0,23,1.0,9,1,4,-1,23,1,-1.0,17,1,0,0.4350420395985896,0,0,0,0,1
193,0,2,48,1,1,8,0,0,23,1.0,8,1,5,0,23,1,-1.0,360,1,2,0.4350420395985896,0,0,0,0,1
194,1,2,52,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,0,0,3,0.4350420395985896,0,0,0,0,1
195,0,0,28,0,0,9,0,0,5,0.0,9,1,6,0,5,1,0.0,51,0,0,0.4350420395985896,0,0,0,0,1
196,0,2,33,0,0,3,0,0,3,1.0,3,-1,1,-1,3,0,0.0,0,0,2,0.4350420395985896,0,0,0,0,1
197,1,3,28,0,0,2,0,0,0,1.0,2,-1,2,-1,0,1,-1.0,2,0,5,0.4350420395985896,0,0,0,0,1
198,0,0,29,0,1,5,0,0,2,1.0,5,0,5,0,2,1,-1.0,1,0,0,0.4350420395985896,0,0,0,0,1
199,0,2,25,0,0,2,0,0,0,1.0,2,-1,3,-1,0,1,0.0,0,0,2,0.4350420395985896,0,0,0,0,1
200,0,0,27,0,0,8,0,0,9,1.0,8,1,8,1,9,1,-1.0,52,1,0,0.4350420395985896,0,0,0,0,1
201,0,2,52,1,0,1,0,0,4,1.0,1,-1,1,-1,4,1,-1.0,7,1,2,0.4350420395985896,0,0,0,0,1
202,0,0,32,0,0,2,0,0,3,1.0,2,-1,2,-1,3,1,0.0,1,0,0,0.4350420395985896,0,0,0,0,1
