sex,race,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,c_charge_degree,days_b_screening_arrest,length_of_stay,c_charge_desc_id,two_year_recid
0,5,49,1,0,3,0,0,7,0.0,3,-1,2,-1,7,1,-1.0,3,2,1
1,2,33,0,0,5,0,0,4,1.0,5,0,2,-1,4,0,-1.0,11,1,1
0,2,24,-1,0,2,0,0,1,0.0,2,-1,3,-1,1,0,0.0,1,1,1
0,0,34,0,2,9,1,3,21,0.0,9,1,6,0,21,1,0.0,33,0,1
0,2,29,0,0,2,0,0,0,1.0,2,-1,2,-1,0,0,0.0,-1,3,0
1,0,21,-1,0,8,0,0,2,1.0,8,1,8,1,2,1,-1.0,79,4,0
0,0,51,1,0,1,0,0,2,1.0,1,-1,1,-1,2,0,-1.0,1,0,0
0,2,29,0,0,2,0,0,2,1.0,2,-1,2,-1,2,0,-1.0,0,2,1
1,0,51,1,0,2,0,0,7,1.0,2,-1,2,-1,7,1,-1.0,1,3,0
0,0,29,0,0,7,0,0,0,0.0,7,0,2,-1,0,1,0.0,0,4,1
0,2,25,0,0,10,0,0,9,1.0,10,1,9,1,9,0,-1.0,6,1,1
0,0,35,0,1,8,0,4,13,1.0,8,1,3,-1,13,1,-1.0,0,4,1
0,2,49,1,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0,3,0
0,0,29,0,0,4,0,0,0,1.0,4,-1,3,-1,0,1,0.0,0,4,0
0,2,29,0,0,2,0,0,1,24.0,2,-1,2,-1,1,1,-24.0,0,3,1
1,5,28,0,0,2,0,0,0,1.0,2,-1,2,-1,0,1,-1.0,0,4,0
0,0,31,0,0,5,0,1,15,1.0,5,0,7,0,15,1,-1.0,135,1,0
0,0,24,-1,0,4,0,0,2,1.0,4,-1,4,-1,2,1,-1.0,1,0,1
0,3,30,0,0,7,0,0,0,0.0,7,0,3,-1,0,0,0.0,23,3,0
0,0,49,1,0,1,0,0,4,1.0,1,-1,1,-1,4,0,-1.0,0,1,0
0,2,53,1,0,5,0,0,8,13.0,5,0,2,-1,8,1,-13.0,13,4,0
0,0,35,0,0,3,0,0,5,1.0,3,-1,2,-1,5,1,-1.0,0,4,0
0,0,27,0,1,10,1,2,15,1.0,10,1,9,1,15,1,-1.0,1,4,1
0,2,38,0,0,2,0,0,4,1.0,2,-1,2,-1,4,0,-1.0,1,1,1
0,0,22,-1,0,4,0,1,1,1.0,4,-1,6,0,1,1,-1.0,1,1,1
0,0,29,0,0,9,0,0,4,1.0,9,1,5,0,4,1,-1.0,18,4,1
0,3,62,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,-1,0,0
0,0,27,0,0,6,1,0,6,0.0,6,0,3,-1,6,1,0.0,30,1,1
0,5,33,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,1,1,0
1,0,56,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,3,1,0
0,3,45,1,0,1,0,0,6,1.0,1,-1,1,-1,6,1,-1.0,241,3,1
0,3,22,-1,0,4,0,0,1,1.0,4,-1,6,0,1,1,-1.0,1,4,0
0,0,39,0,0,4,0,0,1,1.0,4,-1,2,-1,1,0,-1.0,4,4,0
0,0,29,0,0,6,0,0,5,0.0,6,0,3,-1,5,1,0.0,1,4,1
0,2,27,0,0,6,0,1,1,1.0,6,0,3,-1,1,1,-1.0,14,4,1
0,0,40,0,0,2,0,0,2,15.0,2,-1,1,-1,2,1,-15.0,3,4,0
0,0,22,-1,0,3,0,0,1,1.0,3,-1,3,-1,1,0,0.0,16,1,1
0,2,22,-1,0,8,0,0,0,1.0,8,1,6,0,0,1,-1.0,57,4,0
1,0,26,0,0,4,0,0,1,1.0,4,-1,3,-1,1,1,-1.0,2,3,1
0,0,32,0,0,2,0,0,0,1.0,2,-1,1,-1,0,1,-1.0,1,1,0
0,0,41,0,0,2,0,0,1,5185.0,2,-1,2,-1,1,0,-1.0,1,4,0
0,0,30,0,0,10,0,0,8,1.0,10,1,9,1,8,0,-1.0,1,3,1
0,5,50,1,0,1,0,0,0,1.0,1,-1,2,-1,0,1,-1.0,0,4,1
0,0,25,0,1,10,6,1,14,1.0,10,1,10,1,14,1,-1.0,7,4,1
0,5,20,-1,0,5,0,0,0,1.0,5,0,8,1,0,1,-1.0,1,4,1
0,0,22,-1,1,9,0,0,2,0.0,9,1,10,1,2,1,0.0,30,0,1
1,0,35,0,0,2,0,0,1,1.0,2,-1,1,-1,1,0,-1.0,0,4,0
0,0,36,0,0,7,0,0,9,1.0,7,0,6,0,9,1,0.0,3,3,1
0,2,26,0,0,8,0,0,7,1.0,8,1,4,-1,7,1,0.0,0,4,1
0,5,21,-1,0,6,0,0,1,1.0,6,0,6,0,1,1,0.0,3,4,1
0,2,25,0,0,8,0,0,9,1.0,8,1,9,1,9,1,-1.0,0,3,1
1,2,20,-1,0,7,0,0,0,1.0,7,0,8,1,0,1,-1.0,0,0,0
0,2,39,0,0,1,0,0,2,3.0,1,-1,1,-1,2,1,-2.0,-1,3,1
1,2,54,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,0,3,0
1,3,44,0,0,1,0,0,0,2.0,1,-1,1,-1,0,0,-2.0,1,1,0
0,0,19,-1,0,4,0,0,1,10.0,4,-1,7,0,1,0,-10.0,9,1,1
0,0,30,0,0,2,0,0,1,1.0,2,-1,2,-1,1,1,-1.0,0,0,0
1,2,39,0,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,1,1,1
0,2,24,-1,0,6,1,2,8,0.0,6,0,6,0,8,1,-1.0,12,4,1
0,2,30,0,0,4,0,0,0,1.0,4,-1,2,-1,0,1,-1.0,5,3,0
0,2,31,0,0,5,0,0,0,1.0,5,0,2,-1,0,0,-1.0,38,1,0
1,2,39,0,0,4,0,0,1,1.0,4,-1,3,-1,1,1,-1.0,106,3,0
0,2,43,0,0,1,0,0,1,30.0,1,-1,1,-1,1,1,-30.0,1,3,0
0,0,21,-1,0,9,0,0,3,1.0,9,1,6,0,3,1,-1.0,6,4,1
0,2,38,0,0,4,0,0,5,1.0,4,-1,3,-1,5,0,-1.0,2,3,1
0,2,34,0,0,5,0,0,0,0.0,5,0,5,0,0,1,0.0,14,1,0
0,0,33,0,0,5,0,0,5,1.0,5,0,2,-1,5,1,0.0,0,0,1
0,0,37,0,0,2,0,0,3,0.0,2,-1,1,-1,3,1,0.0,1,0,0
0,2,42,0,0,2,0,0,1,1.0,2,-1,2,-1,1,1,0.0,0,0,1
0,0,41,0,0,9,1,0,10,0.0,9,1,7,0,10,1,0.0,176,3,1
0,0,22,-1,0,4,0,0,0,1.0,4,-1,7,0,0,1,-1.0,0,4,1
0,0,33,0,0,8,12,2,28,1.0,8,1,5,0,28,1,-1.0,1,4,1
0,0,31,0,0,7,0,0,1,1.0,7,0,8,1,1,0,-1.0,1,1,0
1,5,30,0,0,2,0,0,1,1.0,2,-1,2,-1,1,1,-1.0,1,3,0
0,2,31,0,0,10,0,0,13,0.0,10,1,7,0,13,1,-1.0,471,4,1
0,0,27,0,0,9,0,0,3,1.0,9,1,4,-1,3,1,-1.0,0,3,1
0,2,52,1,0,9,0,0,3,2.0,9,1,6,0,3,0,-2.0,0,1,0
0,0,33,0,0,10,0,0,19,1.0,10,1,7,0,19,1,-1.0,0,4,1
0,2,42,0,0,3,0,0,6,5.0,3,-1,1,-1,6,1,-4.0,-1,3,0
1,2,25,0,0,4,0,0,2,1.0,4,-1,5,0,2,1,-1.0,3,4,0
0,2,30,0,0,2,0,0,1,20.0,2,-1,2,-1,1,0,-20.0,3,2,0
1,5,37,0,0,2,0,0,2,222.0,2,-1,1,-1,2,0,-1.0,1,4,0
0,2,28,0,0,2,0,0,0,1.0,2,-1,3,-1,0,0,-1.0,0,3,1
1,0,24,-1,0,2,0,0,0,1.0,2,-1,3,-1,0,0,-1.0,2,1,0
1,2,29,0,0,4,1,0,10,1.0,4,-1,2,-1,10,1,-1.0,7,4,1
0,2,44,0,0,2,0,0,2,1.0,2,-1,1,-1,2,0,0.0,-1,1,1
0,0,32,0,0,7,0,0,3,1.0,7,0,3,-1,3,1,-1.0,8,3,1
0,2,31,0,0,3,0,0,2,16.0,3,-1,3,-1,2,0,-16.0,15,2,1
0,0,31,0,0,2,0,0,1,1.0,2,-1,3,-1,1,0,-1.0,1,2,0
0,2,59,1,0,2,0,0,1,1.0,2,-1,1,-1,1,1,-1.0,0,3,1
1,0,20,-1,1,10,0,0,1,0.0,10,1,10,1,1,1,0.0,2,4,0
1,2,43,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0,3,0
0,0,38,0,1,8,1,0,9,1.0,8,1,4,-1,9,1,-1.0,13,3,1
0,0,32,0,0,6,0,0,11,2.0,6,0,5,0,11,1,-2.0,1,0,1
0,0,33,0,0,5,0,0,8,1.0,5,0,2,-1,8,0,-1.0,0,1,1
1,0,31,0,0,3,0,0,0,1.0,3,-1,2,-1,0,1,-1.0,1,3,1
1,0,33,0,0,9,0,0,7,1.0,9,1,9,1,7,1,-1.0,26,3,1
0,0,27,0,0,9,0,0,2,1.0,9,1,8,1,2,1,-1.0,1,4,1
1,0,20,-1,0,6,0,0,0,1.0,6,0,8,1,0,1,0.0,0,4,0
1,2,26,0,0,6,0,0,0,2.0,6,0,3,-1,0,0,-2.0,0,1,0
1,0,61,1,0,1,0,0,1,1.0,1,-1,1,-1,1,1,-1.0,0,3,1
0,5,52,1,0,7,0,0,13,1.0,7,0,6,0,13,1,-1.0,1,4,1
0,3,63,1,0,1,0,0,1,26.0,1,-1,1,-1,1,1,-26.0,14,4,0
1,0,32,0,0,10,0,0,4,7.0,10,1,9,1,4,1,-7.0,6,4,1
0,3,29,0,0,4,0,0,1,1.0,4,-1,4,-1,1,1,-1.0,0,4,0
1,0,26,0,0,4,0,0,2,1.0,4,-1,4,-1,2,0,-1.0,0,3,1
0,2,39,0,1,4,0,0,1,1672.0,4,-1,4,-1,1,0,-1.0,3,0,0
1,2,30,0,0,7,0,0,3,1.0,7,0,4,-1,3,1,0.0,530,4,1
0,0,30,0,0,7,0,0,1,1.0,7,0,8,1,1,1,0.0,70,1,0
0,2,48,1,0,2,0,0,2,1.0,2,-1,1,-1,2,0,-1.0,0,1,0
0,0,22,-1,0,2,0,0,1,1.0,2,-1,4,-1,1,1,-1.0,0,4,0
0,2,46,1,0,1,0,0,6,31.0,1,-1,1,-1,6,1,22.0,22,4,1
0,2,31,0,0,5,0,0,0,1.0,5,0,4,-1,0,1,0.0,2,0,0
0,0,25,0,0,2,0,0,1,1.0,2,-1,3,-1,1,0,-1.0,1,1,1
0,3,23,-1,0,3,0,0,0,2.0,3,-1,5,0,0,1,-1.0,0,0,0
1,0,32,0,0,7,0,0,5,1.0,7,0,3,-1,5,1,-1.0,1,1,0
0,3,52,1,0,1,0,0,2,1.0,1,-1,1,-1,2,0,-1.0,3,0,0
0,0,62,1,0,4,0,0,8,1.0,4,-1,1,-1,8,1,0.0,15,3,0
0,3,31,0,0,9,0,0,8,61.0,9,1,7,0,8,1,29.0,117,4,1
0,0,28,0,0,6,0,0,6,1.0,6,0,6,0,6,0,-1.0,0,2,1
0,3,54,1,0,1,0,0,2,1.0,1,-1,1,-1,2,1,-1.0,188,4,0
0,3,58,1,0,2,0,0,0,1.0,2,-1,1,-1,0,1,-1.0,0,3,0
0,2,78,1,0,1,0,0,1,1.0,1,-1,1,-1,1,0,-1.0,0,3,1
0,2,56,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,1,3,0
0,5,24,-1,0,2,0,0,0,1.0,2,-1,4,-1,0,1,-1.0,1,4,0
0,0,22,-1,0,5,0,0,1,1.0,5,0,5,0,1,1,0.0,0,3,1
0,0,47,1,0,8,0,0,23,1.0,8,1,1,-1,23,0,-1.0,0,3,1
0,0,23,-1,0,2,0,0,0,1.0,2,-1,4,-1,0,0,-1.0,1,1,1
0,3,57,1,0,1,0,0,1,0.0,1,-1,1,-1,1,1,0.0,19,4,0
0,0,66,1,0,1,0,0,3,10.0,1,-1,1,-1,3,1,-10.0,2,2,0
0,2,45,1,0,4,0,0,8,0.0,4,-1,3,-1,8,0,0.0,71,2,1
0,0,37,0,0,9,0,0,2,0.0,9,1,8,1,2,0,0.0,0,1,1
0,2,39,0,0,4,0,0,0,0.0,4,-1,4,-1,0,1,0.0,0,3,1
0,0,26,0,0,9,0,0,9,1.0,9,1,8,1,9,1,0.0,79,3,1
0,2,45,1,0,3,0,0,2,1.0,3,-1,4,-1,2,1,-1.0,358,2,0
0,0,23,-1,0,3,0,0,0,1.0,3,-1,4,-1,0,1,-1.0,0,3,1
0,0,34,0,0,2,0,0,2,1.0,2,-1,1,-1,2,0,0.0,25,1,0
1,0,23,-1,0,4,0,0,1,1.0,4,-1,4,-1,1,0,-1.0,0,1,0
0,5,36,0,0,3,0,0,2,1.0,3,-1,1,-1,2,0,-1.0,2,1,1
0,2,50,1,0,1,0,0,1,4.0,1,-1,1,-1,1,1,-4.0,1,2,0
1,2,37,0,0,3,0,0,0,1.0,3,-1,1,-1,0,0,-1.0,0,4,0
0,2,44,0,0,4,0,0,4,0.0,4,-1,4,-1,4,0,0.0,1,1,0
1,0,35,0,0,9,1,0,23,1.0,9,1,9,1,23,1,-1.0,2,4,1
0,5,24,-1,0,5,0,0,5,1.0,5,0,4,-1,5,1,-1.0,0,4,1
0,0,26,0,0,10,0,0,2,1.0,10,1,8,1,2,1,-1.0,1,1,1
0,0,27,0,0,2,0,0,0,1.0,2,-1,3,-1,0,0,-1.0,2,4,0
1,0,28,0,0,8,0,0,0,1.0,8,1,6,0,0,1,0.0,29,1,0
1,2,28,0,0,9,0,0,7,1.0,9,1,6,0,7,1,-1.0,1,4,1
0,0,38,0,0,1,0,0,2,1.0,1,-1,1,-1,2,1,-1.0,1,4,0
1,0,28,0,0,9,0,0,1,1.0,9,1,7,0,1,1,-1.0,38,4,0
0,2,56,1,0,1,0,0,7,1.0,1,-1,1,-1,7,1,-1.0,0,4,1
0,0,38,0,0,9,0,0,15,1.0,9,1,3,-1,15,1,-1.0,1,3,0
0,0,28,0,0,5,0,0,2,2147.0,5,0,4,-1,2,0,-1.0,0,3,0
1,2,51,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,0,3,1
0,2,51,1,0,2,0,0,0,1.0,2,-1,2,-1,0,0,-1.0,0,1,0
0,5,36,0,0,1,0,0,1,1.0,1,-1,1,-1,1,0,-1.0,1,3,1
0,0,48,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,1,1,0
0,2,37,0,0,3,0,0,4,0.0,3,-1,4,-1,4,1,0.0,1,4,1
1,0,30,0,0,7,0,0,2,1.0,7,0,4,-1,2,1,-1.0,2,4,0
1,0,41,0,0,6,0,0,5,1.0,6,0,3,-1,5,0,0.0,0,1,0
0,0,27,0,0,10,0,0,11,1.0,10,1,9,1,11,1,-1.0,223,1,1
0,0,37,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,1,1,0
0,5,33,0,0,4,0,0,4,1.0,4,-1,2,-1,4,1,0.0,2,1,1
0,0,54,1,0,9,0,0,11,1.0,9,1,9,1,11,1,-1.0,129,4,0
0,0,23,-1,0,9,0,0,2,1.0,9,1,5,0,2,1,-1.0,71,1,0
0,0,41,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0,1,0
0,2,52,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,0,1,0
0,2,43,0,0,4,0,0,13,1.0,4,-1,1,-1,13,1,0.0,51,4,1
0,0,52,1,0,4,0,0,0,1.0,4,-1,3,-1,0,1,-1.0,13,4,0
0,2,28,0,0,1,0,0,1,3.0,1,-1,2,-1,1,1,-3.0,3,4,0
0,0,30,0,0,9,0,2,11,1.0,9,1,4,-1,11,0,-1.0,1,1,1
0,2,28,0,0,5,0,0,1,0.0,5,0,3,-1,1,1,0.0,6,4,0
0,0,22,-1,0,4,0,0,0,1.0,4,-1,6,0,0,1,-1.0,0,3,0
0,0,30,0,0,2,0,0,4,0.0,2,-1,2,-1,4,1,0.0,-1,4,0
0,3,25,0,0,4,0,0,4,0.0,4,-1,4,-1,4,1,0.0,1,3,0
0,2,31,0,0,8,0,0,0,1.0,8,1,5,0,0,1,-1.0,30,4,1
0,2,37,0,0,2,0,0,0,1.0,2,-1,1,-1,0,1,-1.0,35,4,1
0,0,32,0,0,9,1,0,14,1.0,9,1,8,1,14,1,-1.0,1,1,0
0,2,53,1,0,1,0,0,1,1.0,1,-1,1,-1,1,0,-1.0,1,1,0
0,0,28,0,0,8,0,0,25,70.0,8,1,9,1,25,1,29.0,25,4,1
0,2,44,0,0,5,0,0,8,1.0,5,0,3,-1,8,0,-1.0,4,1,1
0,0,25,0,0,3,0,0,0,1.0,3,-1,4,-1,0,1,0.0,0,4,0
0,2,22,-1,0,8,0,1,1,0.0,8,1,7,0,1,0,0.0,5,2,1
1,5,37,0,0,1,0,0,0,2.0,1,-1,1,-1,0,0,-1.0,1,1,0
1,5,40,0,0,2,0,0,3,1.0,2,-1,1,-1,3,1,-1.0,1,4,0
1,3,31,0,0,2,0,0,0,1.0,2,-1,2,-1,0,0,-1.0,0,1,0
0,3,23,-1,0,6,0,1,1,1.0,6,0,4,-1,1,1,-1.0,1,4,1
1,2,23,-1,0,5,0,4,5,1.0,5,0,7,0,5,1,-1.0,0,4,1
0,3,24,-1,0,8,0,0,0,3.0,8,1,7,0,0,0,-3.0,0,3,0
0,0,29,0,0,3,0,0,1,1.0,3,-1,3,-1,1,0,-1.0,0,1,0
0,0,20,-1,0,8,0,0,1,1.0,8,1,7,0,1,1,-1.0,1,1,1
0,0,30,0,0,6,0,0,2,1.0,6,0,5,0,2,1,-1.0,1,1,1
0,5,39,0,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,0,0,0
0,0,27,0,0,4,0,0,4,1.0,4,-1,4,-1,4,1,-1.0,0,4,0
1,0,37,0,0,1,0,0,2,0.0,1,-1,1,-1,2,1,0.0,0,4,0
0,0,20,-1,0,8,0,0,0,1.0,8,1,6,0,0,1,-1.0,2,4,0
0,3,22,-1,0,7,0,1,0,0.0,7,0,6,0,0,1,0.0,2,0,0
1,0,52,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,0,4,0
1,0,23,-1,0,4,0,0,0,1.0,4,-1,4,-1,0,1,-1.0,3,1,1
1,0,48,1,0,2,0,0,0,1.0,2,-1,3,-1,0,1,-1.0,1,1,0
0,2,25,0,0,5,0,0,0,1.0,5,0,4,-1,0,1,0.0,0,0,0
0,2,27,0,0,6,0,0,0,1.0,6,0,7,0,0,1,-1.0,1,4,1
0,0,30,0,0,7,0,0,11,0.0,7,0,6,0,11,1,0.0,1,0,1
0,0,22,-1,0,10,1,1,3,1.0,10,1,7,0,3,0,-1.0,1,1,1
1,2,22,-1,0,3,0,0,1,1.0,3,-1,4,-1,1,1,-1.0,0,3,0
1,0,41,0,0,3,0,0,2,1.0,3,-1,1,-1,2,0,-1.0,0,1,0
1,5,25,0,0,2,0,0,0,1.0,2,-1,3,-1,0,1,-1.0,0,1,0
0,0,52,1,0,6,0,0,3,1.0,6,0,2,-1,3,1,0.0,24,3,1
0,0,43,0,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,41,1,0
0,2,37,0,0,1,0,0,3,4.0,1,-1,1,-1,3,1,-4.0,2,4,0
0,2,70,1,0,1,0,0,1,13.0,1,-1,1,-1,1,0,-13.0,12,1,0
0,2,46,1,0,4,0,0,3,1.0,4,-1,2,-1,3,1,-1.0,14,4,0
0,0,21,-1,0,9,0,0,0,1.0,9,1,7,0,0,0,-1.0,1,4,1
0,0,26,0,0,8,0,0,1,1.0,8,1,6,0,1,0,-1.0,1,1,1
0,3,38,0,0,1,0,0,3,82.0,1,-1,1,-1,3,1,23.0,1,3,1
0,2,34,0,0,4,0,0,5,1.0,4,-1,4,-1,5,0,-1.0,1,1,0
0,0,34,0,0,4,0,0,5,1.0,4,-1,4,-1,5,0,-1.0,0,4,0
0,2,23,-1,0,5,0,0,0,1.0,5,0,5,0,0,1,0.0,0,1,1
0,0,34,0,0,4,0,0,5,1.0,4,-1,2,-1,5,1,-1.0,2,3,1
0,0,39,0,0,3,0,0,6,1.0,3,-1,1,-1,6,1,-1.0,2,1,1
0,5,24,-1,0,3,0,0,0,1.0,3,-1,5,0,0,1,-1.0,1,4,0
0,2,58,1,0,3,0,0,2,1.0,3,-1,1,-1,2,1,-1.0,1,0,0
1,0,21,-1,0,6,0,0,0,0.0,6,0,7,0,0,0,0.0,0,1,0
0,0,23,-1,0,8,0,1,4,11.0,8,1,5,0,4,0,-11.0,11,3,1
0,2,62,1,0,1,0,0,0,0.0,1,-1,1,-1,0,1,0.0,1,4,0
0,2,37,0,0,3,0,0,5,1.0,3,-1,1,-1,5,1,-1.0,10,1,0
0,5,43,0,0,2,0,0,2,1.0,2,-1,1,-1,2,1,-1.0,7,4,1
1,0,32,0,0,1,0,0,5,2.0,1,-1,1,-1,5,1,0.0,-1,1,0
0,3,23,-1,0,3,0,0,0,1.0,3,-1,5,0,0,1,-1.0,45,4,0
0,0,27,0,0,1,0,0,0,1.0,1,-1,2,-1,0,0,0.0,0,1,0
0,2,44,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,1,1,1
0,2,28,0,0,3,0,0,3,1.0,3,-1,3,-1,3,0,-1.0,0,1,1
1,2,42,0,0,2,0,0,0,3.0,2,-1,1,-1,0,1,-3.0,1,3,0
0,5,24,-1,0,10,1,0,9,1.0,10,1,10,1,9,1,-1.0,4,1,1
0,0,27,0,0,2,0,0,0,0.0,2,-1,3,-1,0,1,0.0,17,1,0
0,0,20,-1,0,10,0,0,0,1.0,10,1,9,1,0,1,-1.0,0,4,1
1,2,51,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,1,1,0
0,2,56,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,1,1,0
0,0,29,0,0,9,0,0,7,1.0,9,1,6,0,7,1,-1.0,1,4,0
0,0,20,-1,0,9,0,0,0,1.0,9,1,8,1,0,1,-1.0,209,4,1
0,2,27,0,0,5,0,0,8,1.0,5,0,3,-1,8,1,-1.0,68,4,0
0,0,24,-1,0,9,1,0,2,1.0,9,1,9,1,2,1,-1.0,19,4,1
0,2,53,1,0,6,0,0,36,7.0,6,0,9,1,36,1,-7.0,32,2,1
0,2,28,0,0,3,0,0,2,1.0,3,-1,4,-1,2,0,0.0,1,1,1
0,3,21,-1,0,5,1,0,3,22.0,5,0,6,0,3,1,-22.0,22,4,0
1,0,36,0,0,7,0,0,0,1.0,7,0,5,0,0,1,-1.0,12,1,0
1,2,25,0,0,4,0,0,2,2.0,4,-1,4,-1,2,0,-2.0,1,4,1
1,3,23,-1,0,3,0,0,1,1.0,3,-1,4,-1,1,0,0.0,0,0,0
0,2,28,0,0,5,0,0,1,4.0,5,0,3,-1,1,1,-4.0,1,3,0
1,0,21,-1,0,8,0,0,0,1.0,8,1,7,0,0,1,-1.0,1,1,1
0,2,36,0,0,3,0,0,0,1.0,3,-1,3,-1,0,0,-1.0,0,2,0
0,0,24,-1,0,3,0,0,0,1.0,3,-1,4,-1,0,1,-1.0,0,4,0
0,5,30,0,0,2,0,0,1,1.0,2,-1,2,-1,1,1,-1.0,0,4,1
0,0,29,0,0,1,0,0,0,1.0,1,-1,2,-1,0,1,-1.0,1,1,0
1,2,30,0,0,6,0,0,0,1.0,6,0,2,-1,0,0,0.0,3,1,0
0,3,51,1,0,1,0,0,1,2.0,1,-1,1,-1,1,0,-1.0,1,1,0
0,0,32,0,0,9,1,0,12,1.0,9,1,7,0,12,1,-1.0,1,4,1
0,0,23,-1,0,6,0,1,1,1.0,6,0,5,0,1,1,0.0,1,4,0
0,0,47,1,0,3,0,0,3,0.0,3,-1,2,-1,3,1,0.0,0,4,0
0,2,37,0,0,1,0,0,0,0.0,1,-1,1,-1,0,1,-1.0,19,4,0
0,0,19,-1,0,10,2,0,2,1.0,10,1,9,1,2,1,-1.0,1,0,1
0,3,27,0,0,8,0,0,0,1.0,8,1,6,0,0,0,-1.0,2,1,0
0,5,39,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,0,1,0
1,2,21,-1,0,6,0,2,0,0.0,6,0,8,1,0,1,0.0,0,3,0
0,2,69,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,0,1,0
0,2,21,-1,0,6,0,0,2,1.0,6,0,6,0,2,1,-1.0,2,4,0
0,0,26,0,0,10,0,1,6,0.0,10,1,10,1,6,0,0.0,3,1,1
